1,create,創り出す
2,increase,増加する
3,improve,向上させる
4,mean,意味する
5,own,所有している
6,include,含む
7,consider,見なす
8,allow,許す
9,suggest,提案する
10,produce,生産する
11,decide,決める
12,offer,提供する 申し出る
13,require,要求する
14,share,共有する
15,store,保存する
16,tend,傾向がある
17,concern,心配している
18,describe,述べる 説明する
19,involve,関与させる
20,reduce,減らす
21,design,設計する
22,force,強いる
23,limit,制限[規制]する
24,bear,耐える
25,affect,影響を及ぼす
26,deal,処理する
27,avoid,避ける
28,relate,関連づける
29,realize,気づく
30,encourage,奨励する
31,compare,比較する
32,measure,測る
33,exist,存在する
34,mark,印をつける
35,challenge,異議を唱える
36,depend,頼る
37,object,反対する
38,demand,要求する
39,found,設立する
40,complete,完成させる 仕上げる
41,idea,考え 思いつき
42,accord,一致
43,company,会社
44,interest,興味
45,research,研究 調査
46,cause,原因
47,reason,理由
48,effect,影響
49,influence,影響（力）
50,situation,状況
51,environment,環境
52,skill,技能
53,matter,事柄
54,view,見解
55,value,価値
56,species,（生物の）種
57,thought,考え
58,knowledge,知識
59,memory,記憶（力）
60,practice,実践 実行
61,benefit,利益 恩恵
62,theory,学説
63,issue,問題（点）
64,experiment,実験
65,article,記事
66,focus,焦点
67,subject,話題
68,project,計画
69,quality,質
70,role,役割
71,term,（専門）用語
72,statement,声明
73,material,材料 素材
74,evidence,証拠
75,source,源 根源
76,community,（共同）社会 ～界
77,technology,科学技術
78,culture,文化
79,appropriate,適切な
80,likely,ありそうな
81,possible,可能な
82,individual,個々の
83,public,公の
84,common,共通の
85,certain,確信して
86,similar,似ている 類似した
87,recent,最近の
88,major,主要な 大きい（ほうの）
89,patient,忍耐強い
90,particular,特定の
91,physical,身体の
92,various,さまざまな
93,available,手に入れる
94,native,出生地の
95,political,政治（上）の
96,due,予定された
97,blank,空白の
98,ancient,古代の
99,correct,正しい
100,despite,～にもかかわらず
101,notice,気づく
102,refer,言及する 関連する
103,approach,近づく
104,wonder,かなと思う
105,imagine,想像する
106,recognize,識別できる
107,solve,解く 解明する
108,occur,起こる
109,argue,主張する
110,claim,主張する
111,express,表す 述べる
112,draw,引き出す
113,waste,浪費する 無駄にする
114,advance,進歩させる
115,spread,広める
116,prepare,準備する
117,gain,獲得する
118,achieve,達成する
119,establish,確立する
120,supply,供給する
121,suppose,思う
122,perform,行う
123,prefer,ほうを好む
124,determine,決定する
125,treat,扱う
126,prove,証明する
127,apply,適用[応用]する
128,mention,言及する
129,communicate,情報交換をする
130,contain,含む
131,contact,連絡を取る
132,regard,見なす
133,respect,尊敬する
134,search,捜す
135,connect,つなぐ
136,decline,減少する
137,prevent,妨げる
138,suffer,苦しむ
139,survive,切り抜けて生き残る
140,publish,出版する
141,opportunity,機会
142,task,（課せられた）仕事 作業
143,industry,産業
144,medium,（情報伝達の）媒体
145,economy,経済（状態）
146,policy,政策 方針
147,account,説明
148,trade,貿易
149,model,模範
150,figure,数字
151,cell,細胞
152,image,印象
153,emotion,感情 情動
154,stress,ストレス
155,decade,10年間
156,range,範囲
157,character,性格 個性
158,advantage,利点
159,phrase,句
160,damage,損害 損傷
161,impact,影響
162,method,方法
163,resource,資源
164,region,地域
165,medicine,薬
166,detail,詳細（な情報）細部
167,feature,特徴
168,function,機能
169,access,利用 入手
170,item,品目 項目
171,income,収入
172,attitude,態度
173,site,用地 場所
174,aspect,（物事の）側面
175,structure,構造
176,habit,習慣 癖
177,link,関連 つながり
178,instance,（具体的な）例 実例
179,positive,肯定的な
180,negative,否定的な
181,complex,複雑な
182,current,現在の
183,mental,精神の
184,specific,特定の
185,significant,重要な 重大な
186,essential,必要不可欠な
187,official,公用の
188,financial,財政（上）の
189,academic,学問の
190,aware,気づいて 知って
191,worth,値する
192,potential,潜在的な
193,active,積極的な
194,digital,デジタル方式の
195,mobile,可動[移動]式の
196,novel,斬新な 目新しい
197,plastic,柔軟な
198,chemical,化学の 化学的な
199,necessary,必要な
200,eventually,結局は
201,identify,特定する
202,represent,表す
203,indicate,指し示す
204,manage,なんとか成し遂げる
205,attend,出席する
206,maintain,維持する
207,survey,調査する
208,replace,取って代わる
209,sort,分類する
210,conduct,（調査・実験などを）実施する
211,associate,結び付けて考える
212,attempt,試みる 企てる
213,promote,促進する
214,earn,稼ぐ
215,unite,団結させる
216,feed,食べ物[乳]を与える
217,seek,追い求める
218,observe,気づく
219,reveal,明らかにする
220,estimate,推定する
221,reflect,反映する
222,attract,引きつける
223,decrease,減少する
224,ignore,無視する
225,match,合う
226,define,定義する
227,adapt,適応する
228,contribute,貢献する 一因となる
229,exchange,交換する
230,display,示す
231,respond,反応する
232,hide,隠す
233,doubt,ではないと思う
234,remove,取り除く
235,wind,（ねじなど）を巻く
236,assume,当然のことと思う 仮定する
237,relax,くつろぐ
238,satisfy,満足させる
239,desire,強く望む
240,succeed,成功する
241,concept,概念
242,fashion,流行 ファッション
243,device,装置 機器
244,charge,料金
245,contrast,対照
246,colleague,（職場の）同僚
247,pain,苦痛 痛み
248,bill,請求書
249,content,内容 中身
250,section,部門
251,audience,聴衆 観客
252,surface,表面
253,crop,作物
254,topic,話題 トピック
255,technique,技術
256,status,地位
257,option,選択（の自由）
258,reward,報酬
259,race,人種
260,crime,罪 犯罪
261,conflict,争い
262,struggle,闘い
263,context,状況 背景
264,debate,討論 論争
265,fuel,燃料
266,pollution,汚染 公害
267,trend,傾向
268,balance,均衡 バランス
269,traffic,交通
270,strategy,戦略
271,basis,基礎
272,consequence,結果
273,aim,目的 目標
274,ancestor,祖先
275,gene,遺伝子
276,track,跡
277,revolution,革命
278,progress,進歩
279,cognitive,認知の
280,ideal,理想的な
281,efficient,効率的な
282,universal,普遍的な
283,vast,莫大な
284,extra,追加の 余分の
285,entire,全体の 全部の
286,familiar,精通している
287,obvious,明らかな
288,moral,道徳（上）の 倫理的な
289,ordinary,一般の 普通の
290,equal,等しい
291,previous,以前の 前の
292,false,間違った
293,rare,まれな 珍しい
294,legal,法律の
295,independent,独立した
296,extreme,極端な
297,actual,実際の 現実の
298,willing,いとわない かまわないと思う
299,urban,都市の
300,whereas,"～するのに（対し）
～する一方"
301,predict,予言[予測]する
302,examine,調べる
303,trust,信頼する
304,stick,動けなくする
305,emerge,現れる
306,vary,さまざまである
307,release,放出する
308,divide,分ける
309,enable,（人が）・・・できるようにする
310,judge,判断する
311,rely,頼る
312,engage,従事させる
313,shift,変える 移す
314,adopt,採用する
315,acquire,得る
316,expand,拡大する
317,refuse,拒む
318,strike,心を打つ
319,repeat,繰り返す
320,consume,消費する
321,confuse,混同する
322,select,選ぶ えり抜く
323,evolve,（徐々に）発展する
324,convince,納得[確信]させる
325,recall,思い出す
326,destroy,破壊する
327,preserve,保存する
328,organize,準備する
329,warn,（人）に警告[注意]する
330,address,（問題など）に対処する
331,operate,操作する
332,participate,参加する
333,surround,取り巻く
334,flow,流れる
335,bore,（人）を退屈させる うんざりさせる
336,complain,不平[苦情]を言う
337,host,主催する
338,combine,結び付ける
339,extend,伸[延]ばす
340,appreciate,正当に評価する
341,target,（到達・攻撃）目標
342,element,要素 成分
343,principle,原則 原理
344,phenomenon,現象
345,atmosphere,大気
346,origin,起源
347,personality,個性 性格
348,capacity,（最大）容量 収容能力
349,profit,利益
350,circumstance,状況 事情
351,manner,作法
352,threat,脅威
353,resident,居住者
354,wealth,富
355,institution,機関
356,authority,（関係）当局
357,vote,投票
358,sight,光景
359,campaign,運動
360,fund,基金 資金
361,web,ウェブ
362,symbol,象徴 シンボル
363,analysis,分析（結果）
364,version,（本・製品などの）版
365,perspective,観点 見方
366,crisis,危機
367,disaster,災害
368,lecture,講義 講演
369,psychology,心理学
370,gender,（社会的・文化的）性、性別
371,custom,（社会的な）慣習
372,court,裁判所 法廷
373,desert,砂漠
374,soil,土地、土壌
375,agriculture,農業
376,fossil,化石
377,document,（公）文書 書類
378,vocabulary,語彙
379,intelligent,聡明な
380,conscious,意識して 気づいて
381,capable,能力がある
382,accurate,正確な
383,fundamental,基本的な
384,artificial,人工の
385,firm,確固たる
386,overall,総合的な
387,rural,田舎の 田園の
388,military,軍の 軍事（用）の
389,nuclear,核の 原子力の
390,biological,生物学（上）の
391,constant,絶え間ない
392,severe,"（人・規律・事態・
天気などが）厳しい"
393,visual,視覚の
394,enormous,莫大な 巨大な
395,convenient,便利な 都合の良い
396,domestic,家庭の
397,mass,大規模な 大量の
398,typical,典型的な
399,overseas,海外へ[に、で]
400,nevertheless,それにもかかわらず
401,demonstrate,論証[証明]する
402,behave,振る舞う
403,educate,教育する
404,purchase,購入する
405,recommend,勧める
406,admit,（しぶしぶ）認める
407,generate,生み出す
408,explore,調査[探求]する
409,amaze,びっくりさせる
410,tear,引き裂く
411,settle,解決する
412,afford,持つ[する]余裕がある
413,conclude,結論づける
414,advertise,宣伝する
415,encounter,遭遇する
416,remind,思い出させる
417,locate,位置する
418,aid,援助する 助ける
419,bite,かむ かみつく
420,deliver,配達する
421,perceive,気づく
422,distinguish,区別する
423,imply,暗に意味する
424,handle,処理する 扱う
425,praise,賞賛する
426,appeal,訴える
427,insist,強く主張する
428,compete,競う
429,rank ,位置づける 評価する
430,deny,否定する
431,reject,拒否する
432,intend,意図する
433,expose,さらす
434,favor,賛成する
435,inspire,（人を）奮起させる
436,propose,提案する
437,spell,（語を）つづる
438,breathe,呼吸する
439,repair,修理する
440,consist,（～から）成る
441,comment,意見 コメント
442,instruction,指示
443,religion,宗教
444,neighborhood,地域
445,laboratory,実験室 研究室
446,presence,存在
447,confidence,自信
448,harm,害 損害
449,instrument,器具
450,category,部類 区分
451,capital,資本
452,outcome,結果
453,notion,概念
454,review,（書物などの）論評
455,trait,特性
456,diversity,多様性
457,victim,犠牲（者） 被害者
458,occasion,場合 時
459,facility,施設 設備
460,stock,在庫品
461,conference,会議
462,humanity,人類
463,dialect,方言
464,proportion,割合
465,tip,助言 秘訣
466,lawyer,弁護士
467,stuff,（漠然と）物
468,comfort,快適さ
469,philosophy,哲学
470,mammal,哺乳動物
471,quantity,量
472,landscape,風景
473,tribe,部族
474,organ,器官 臓器
475,trial,試み （品質・性能などの）試験
476,norm,規範
477,code,規範
478,substance,物質
479,multiple,多様な
480,numerous,非常に数の多い
481,narrow,狭い
482,widespread,広範囲にわたる
483,sufficient,十分な
484,proper,適切な
485,linguistic,言語の 言語学の
486,annual,年一回の 例年の
487,contemporary,現代の
488,contrary,反対の
489,strict,（規則などが）厳しい
490,civil,市民の
491,odd,奇妙な
492,unknown,不明の
493,superior,よりすぐれた
494,sensitive,敏感な
495,violent,（人・気質などが）激しい
496,virtual,仮想の
497,regardless,かまわない 無頓着な
498,immediate,即座の
499,crucial,重要な
500,somewhat,いくぶん 多少
501,interpret,解釈する
502,translate,翻訳する
503,concentrate,集中する
504,request,頼む
505,criticize,批判する
506,overcome,克服する
507,obtain,得る
508,inform,知らせる
509,ensure,確実にする
510,announce,発表[公表]する 知らせる
511,grant,（人に）（許可・権利などを）与える
512,freeze,凍る
513,oppose,反対する
514,differ,異なる
515,hate,ひどく嫌う
516,emphasize,強調する
517,employ,雇う
518,credit,（功績など）を帰する
519,transform,変える
520,construct,建設する
521,arise,生じる
522,beat,打ち負かす
523,regret,後悔する
524,alter,変える
525,absorb,吸収する
526,disappoint,失望させる
527,cure,治す
528,transport,輸送する
529,rush,急いで行く
530,hang,掛ける
531,blame,責める
532,ban,（法的に）禁止する
533,fascinate,魅了する
534,recover,回復する
535,celebrate,祝う
536,manufacture,製造する
537,interact,影響し合う
538,arrange,段取りをつける
539,adjust,調整する
540,confirm,確認する
541,insight,見識 理解（力）
542,innovation,革新
543,budget,予算
544,fee,料金
545,expense,経費
546,debt,借金 負債
547,loan,貸付金 融資
548,duty,義務
549,alarm,不安 恐れ
550,emergency,緊急（事態）
551,democracy,民主主義 民主政治
552,minister,大臣
553,fellow,仲間 同僚
554,candidate,候補（者）
555,corporation,（大）企業
556,stereotype,固定観念
557,route,道（筋）
558,disorder,障害（心身の）不調
559,depression,憂うつ
560,weapon,兵器 武器
561,immigration,（他国からの）移民 移住
562,barrier,障壁
563,disadvantage,不利（な点）
564,mood,気分
565,motion,動き 動作
566,routine,決まり切った仕事
567,discipline,規律 しつけ
568,myth,作り話
569,hypothesis,仮説
570,physician,医師
571,client,顧客
572,colony,植民地
573,statistics,統計
574,grain,穀物
575,ingredient,材料 成分
576,treasure,宝物 財宝
577,contract,契約（書）
578,welfare,福祉 幸福
579,prime,主要な 最も重要な
580,curious,好奇心の強い
581,dramatic,劇的な
582,distinct,明らかに異なる
583,anxious,心配して
584,vital,必要不可欠な
585,conventional,従来の
586,abstract,抽象的な
587,minor,重要でない
588,extraordinary,並はずれた
589,stable,安定した
590,flexible,融通の利く 柔軟な
591,brief,簡潔な
592,aggressive,攻撃的な
593,visible,（目に）見える
594,unexpected,思いがけない 不意の
595,ethnic,民族の 人種の
596,alien,異質の
597,initial,初めの
598,exact,正確な
599,precise,正確な
600,latter,後者の 後半の
601,commit,献身する
602,stimulate,刺激する
603,enhance,（価値などを）高める 増す
604,pursue,追求する
605,react,反応する
606,disagree,不賛成である
607,stare,じっと見る
608,abandon,捨てる
609,quit,やめる
610,capture,とらえる
611,transfer,移す
612,bother,悩ます
613,persuade,説得する
614,rent,賃借りする
615,breed,繁殖させる 育てる
616,invest,投資する
617,reserve,予約する
618,trace,（足跡・起源などを）たどる
619,illustrate,説明する
620,advise,忠告[助言]する
621,convey,伝える
622,attach,（取り）付ける
623,stretch,伸ばす
624,puzzle,当惑させる
625,disturb,かき乱す
626,crash,衝突する 堕落する
627,cope,うまく処理する
628,permit,許可する
629,impress,感動させる
630,suspect,ではないかと思う
631,upset,動揺させる
632,frighten,（人を）怖がらせる
633,import,輸入する
634,export,輸出する
635,investigate,調査する
636,monitor,監視する
637,calculate,計算する
638,eliminate,取り除く
639,ease,軽減する
640,launch,開始する
641,sequence,連続
642,therapy ,療法
643,symptom,症状
644,incident,出来事 事件
645,witness,目撃者
646,sum,（金）額
647,burden,負担
648,tone,口調
649,honor,光栄
650,award,賞
651,priority,優先（事項）
652,logic,論理
653,minimum,最小限度
654,exception,例外
655,clue,手がかり
656,bond,絆
657,virus,ウイルス
658,surgery,（外科）手術
659,insurance,保険
660,frame,枠 （額）縁
661,shelter,避難（所） 保護
662,territory,領土
663,boundary,境界（線）
664,habitat,生息地
665,district,地区
666,conservation,（動植物などの）保護
667,harvest,収穫（物）
668,predator,捕食動物
669,trap,わな
670,trick,こつ
671,fault,責任
672,discount,割引
673,bias,偏見
674,cooperation,協力 共同
675,patent,特許（権）
676,dialogue,対話 会話
677,component,構成要素
678,reputation,評判
679,verbal,言葉の
680,internal,内部の
681,solid,しっかりした
682,remote,遠く離れた
683,principal,主要な
684,sophisticated,高性能の 精巧な
685,equivalent,等しい 相当する
686,rational,理性的な
687,relevant,関係がある
688,absolute,絶対的な
689,frequent,頻繁な
690,permanent,永続的な
691,intense,強烈な
692,meaningful,意味のある
693,evil,邪悪な
694,extinct,絶滅した
695,random,無作為の
696,raw,生の
697,rude,無礼な
698,mere,単なる ほんの
699,tropical,熱帯の
700,forth,前へ 先へ
701,possess,所有している
702,dominate,支配する
703,guarantee,保証する
704,melt,溶ける
705,embarrass,恥ずかしい思いをさせる
706,discourage,（人に）やる気をなくさせる
707,detect,感知する
708,devote,ささげる
709,urge,（強く）促す
710,lend,貸す
711,restrict,制限する
712,isolate,孤立させる
713,accompany,同行する
714,exhaust,疲れ果てさせる
715,annoy,悩ます
716,endanger,危険にさらす
717,acknowledge,（事実などを）認める
718,admire,敬服[感心]する
719,evaluate,評価する
720,declare,宣言する
721,secure,確保する
722,specialize,専門とする
723,attribute,（結果などを)帰する
724,pretend,ふりをする
725,bury,埋める
726,reverse,逆転させる
727,resist,抵抗する
728,scare,おびえさせる
729,imitate,まねる
730,assist,援助する
731,resemble,似ている
732,retire,引退する 退職する
733,neglect,おろそかにする 怠る
734,collapse,崩壊する
735,reform,改革する
736,protest,抗議する
737,owe,借りがある
738,sustain,持続させる
739,assign,割り当てる
740,accomplish,成し遂げる
741,wisdom,知恵
742,literacy,読み書きの能力
743,heritage,遺産
744,mission ,使命
745,license,免許（証）
746,elite,エリート
747,layer,層
748,motor,モーター
749,protein,タンパク質
750,profession,職業
751,editor,編集者
752,agent,仲介者 代理人
753,globe,地球 世界
754,haven,避難所 保護区
755,row,列
756,sacrifice,犠牲
757,means,手段
758,session,集まり
759,league,（競技）連盟
760,contest,コンテスト 競技（会）
761,guard,警備員
762,opponent,（試合・論争などの）相手
763,glance,ちらっと見ること
764,divorce,離婚
765,tissue,（生物の）組織
766,liquid,液体
767,inequality,不平等
768,prejudice,偏見
769,justice,公正 正義
770,guideline,指針 ガイドライン
771,platform,プラットフォーム
772,sector,（社会・経済などの）部門、セクター
773,channel,チャンネル
774,glacier,氷河
775,primate,霊長類の動物
776,usage,（使）用法
777,fortune,財産
778,correlation,相互関係 相関（関係）
779,artistic,芸術的な
780,literary,文学の
781,classic,第一級の
782,liberal,自由主義の
783,concrete,具体的な
784,slight,わずかな
785,federal,連邦（政府）の
786,primitive,原始的な
787,unfamiliar,不慣れな
788,subtle,微妙な
789,plain,明らかな
790,marine,海の
791,apparent,明白な
792,reluctant,気が進まない 嫌がる
793,temporary,一時的な
794,guilty,罪悪感のある
795,royal,王の
796,pure,純粋な
797,incredible,信じられない
798,eager,熱望して
799,adequate,十分な
800,via,経由で
801,assess,を評価する；を査定する
802,approve,賛成する；を承認する
803,remark,と述べる；(～について)意見を述べる(on / upon)
